"species","long","lat"
"Larus.graellsi",13.008639,55.704064
"Larus.graellsi",22.303099,58.857613
"Larus.graellsi",11.169284,58.846013
"Larus.graellsi",9.442189,59.312402
"Larus.graellsi",10.303099,58.857613
"Larus.graellsi",11.593669,66.023003
"Larus.graellsi",10.551249,64.242119
"Larus.graellsi",14.388674,68.286066
"Larus.graellsi",11.539689,64.673209
"Larus.graellsi",13.279334,66.932547
"Larus.graellsi",13.246974,67.380837
"Larus.graellsi",22.502574,63.34504
"Larus.graellsi",18.000154,68.714166
"Larus.graellsi",15.577409,66.940747
"Larus.graellsi",21.460684,60.659211
"Larus.graellsi",22.286439,58.408678
"Larus.graellsi",19.644014,60.204197
"Larus.graellsi",13.680024,59.306507
"Larus.graellsi",14.376264,68.734456
"Larus.graellsi",21.454324,60.210307
"Larus.graellsi",14.433409,66.492247
"Larus.graellsi",23.408289,60.637561
"Larus.graellsi",21.481079,62.00574
"Larus.graellsi",17.123067,69.169656
"Larus.graellsi",15.637004,69.182816
"Larus.graellsi",13.310419,66.484232
"Larus.graellsi",15.624044,68.734456
"Larus.graellsi",12.443294,65.125713
"Larus.graellsi",21.430784,58.414368
"Larus.graellsi",11.557014,65.125713
"Larus.graellsi",16.822194,68.277311
"Larus.graellsi",14.617424,53.922231
"Larus.graellsi",17.139367,69.618162
"Larus.graellsi",14.411959,67.389212
"Larus.graellsi",21.467259,61.108081
"Larus.graellsi",22.338009,59.755372
"Larus.graellsi",21.679599,70.52775
"Larus.graellsi",22.414829,61.550476
"Larus.graellsi",21.503649,63.352
"Larus.graellsi",23.461759,62.43317
"Larus.graellsi",20.552149,59.761367
"Larus.graellsi",21.488344,62.454525
"Larus.graellsi",22.356294,60.204197
"Larus.graellsi",24.000154,58.385183
"Larus.graellsi",24.000154,59.283082
"Larus.graellsi",23.114729,57.948513
"Larus.graellsi",20.335569,70.079465
"Larus.graellsi",24.579299,61.086506
"Larus.graellsi",21.474054,61.556926
"Larus.graellsi",23.421009,61.086506
"Larus.graellsi",21.448159,59.761367
"Larus.graellsi",22.526474,63.793594
"Larus.graellsi",21.495864,62.903275
"Larus.graellsi",23.141594,58.397283
"Larus.graellsi",22.270274,57.959713
"Larus.graellsi",23.39613,60.188587
"Larus.graellsi",20.545984,60.210307
"Larus.graellsi",15.588349,67.389212
"Larus.graellsi",22.375179,60.652991
"Larus.graellsi",23.506864,63.779574
"Larus.graellsi",23.476279,62.882
"Larus.graellsi",27.460684,60.659211
"Larus.graellsi",22.822194,68.277311
"Larus.graellsi",24.538549,62.43317
"Larus.graellsi",23.150564,70.06669
"Larus.graellsi",22.457204,62.447825
"Larus.graellsi",23.447724,61.98431
"Larus.graellsi",24.603674,60.18859
"Larus.graellsi",24.524029,62.882
"Larus.graellsi",25.662299,59.755372
"Larus.graellsi",25.644014,60.204197
"Larus.graellsi",25.625129,60.652991
"Larus.graellsi",23.613069,66.471602
"Larus.graellsi",18.862327,69.618145
"Larus.graellsi",23.434144,61.535426
"Larus.graellsi",26.496659,63.352
"Larus.graellsi",23.384997,59.739577
"Larus.graellsi",21.637004,69.182816
"Larus.graellsi",24.566164,61.535426
"Larus.graellsi",21.664739,70.079465
"Larus.graellsi",24.509004,63.3308
"Larus.graellsi",22.394674,61.101751
"Larus.graellsi",23.169284,58.846013
"Larus.graellsi",24.592019,60.637561
"Larus.graellsi",18.871988,69.169581
"Larus.graellsi",24.616425,59.739599
"Larus.graellsi",26.533049,61.108081
"Larus.graellsi",24.425309,65.574373
"Larus.graellsi",26.519229,62.00574
"Larus.graellsi",25.473834,63.793594
"Larus.graellsi",27.467259,61.108081
"Larus.graellsi",23.123271,69.16962
"Larus.graellsi",24.000154,68.265711
"Larus.graellsi",28.435659,61.99917
"Larus.graellsi",26.511964,62.454525
"Larus.graellsi",28.479494,62.89645
"Larus.graellsi",27.474054,61.556926
"Larus.graellsi",24.552584,61.98431
"Larus.graellsi",25.520814,62.89645
"Larus.graellsi",25.605634,61.101751
"Larus.graellsi",23.522979,64.228314
"Larus.graellsi",24.443294,65.125713
"Larus.graellsi",25.564649,61.99917
"Larus.graellsi",25.497734,63.34504
"Larus.graellsi",26.488594,63.800689
"Larus.graellsi",23.491304,63.3308
"Larus.graellsi",24.802474,59.294702
"Larus.graellsi",25.585479,61.550476
"Larus.graellsi",26.552149,59.761367
"Larus.graellsi",25.543104,62.447825
"Larus.graellsi",27.481079,62.00574
