"long","lat","Protea.laurifolia"
19.92067,-33.69225,1
19.29423,-33.49699,1
20.2486,-33.6869,1
19.04115,-31.373,1
19.04115,-31.373,1
19.04115,-31.373,1
19.1243,-33.7338,1
19.63187,-33.357,1
19.1011,-31.3358,1
19.20242,-32.50747,1
19.15757,-33.89886,1
19.737742,-33.99378,1
19.85711,-33.60446,1
18.875,-33.625,1
20.61283,-33.50194,1
19.157,-32.6357,1
18.9916,-32.13538,1
19.2124,-32.4464,1
19.168565,-33.540272,1
20.7823,-33.8295,1
20.694433,-33.484372,1
19.685556,-33.422778,1
19.625,-32.875,1
18.916667,-34.35,1
18.625,-33.125,1
19.375,-32.375,1
19.375,-32.875,1
19.083245,-31.372264,1
19.125,-31.625,1
19.125,-31.625,1
19.625,-33.875,1
19.625,-33.875,1
20.625,-33.375,1
19.125,-32.625,1
20.625,-33.375,1
19.125,-31.875,1
19.125,-31.875,1
19.125,-31.875,1
19.875,-33.875,1
19.875,-33.875,1
19.625,-33.875,1
19.625,-32.875,1
18.875,-33.125,1
18.875,-33.125,1
20.625,-33.375,1
19.625,-33.625,1
19.625,-33.625,1
19.125,-31.375,1
19.125,-32.375,1
19.125,-31.375,1
19.125,-31.375,1
19.125,-31.375,1
18.875,-33.625,1
19.28333,-33.96666,1
20.625,-33.375,1
20.625,-33.375,1
19.625,-33.625,1
20.375,-33.375,1
19.375,-32.875,1
19.375,-33.375,1
19.375,-33.125,1
18.875,-32.625,1
19.125,-31.375,1
19.625,-33.875,1
18.71666,-32.11666,1
19.3,-32.71666,1
18.51666,-32.11666,1
19.08333,-32.65,1
19.875,-33.625,1
19.087664,-33.696338,1
19.087664,-33.696338,1
18.86666,-32.41666,1
18.45,-34.01666,1
18.93333,-32.15,1
18.93333,-32.15,1
19.125,-33.375,1
19.125,-33.375,1
19.125,-32.125,1
20.625,-33.375,1
20.625,-33.375,1
20.625,-33.375,1
18.875,-31.125,1
18.875,-31.125,1
18.875,-33.625,1
18.875,-33.875,1
18.875,-33.875,1
18.875,-33.875,1
20.625,-33.625,1
20.875,-34.375,1
19.125,-33.375,1
19.375,-33.625,1
19.625,-33.625,1
19.625,-33.625,1
19.625,-33.625,1
19.625,-33.625,1
19.625,-33.625,1
19.625,-33.625,1
19.625,-33.625,1
18.875,-32.375,1
18.875,-32.375,1
19.125,-33.125,1
19.125,-32.625,1
18.875,-34.125,1
18.875,-34.375,1
19.125,-33.125,1
19.125,-32.625,1
19.375,-33.125,1
19.125,-32.875,1
18.875,-32.375,1
19.125,-32.625,1
18.875,-33.875,1
18.875,-33.875,1
18.625,-31.125,1
18.625,-31.125,1
18.625,-32.125,1
21.875,-34.125,1
21.875,-33.875,1
19.125,-32.375,1
18.875,-31.625,1
19.125,-31.875,1
19.375,-32.375,1
18.875,-31.625,1
21.125,-33.875,1
19.125,-31.875,1
19.375,-32.375,1
19.125,-32.125,1
21.125,-33.875,1
19.125,-32.375,1
19.375,-33.125,1
18.875,-33.875,1
18.875,-33.875,1
19.375,-33.125,1
19.375,-31.625,1
19.375,-32.625,1
19.125,-33.125,1
18.375,-33.375,1
19.375,-33.125,1
19.375,-33.375,1
19.375,-33.875,1
19.375,-33.875,1
19.625,-33.875,1
19.625,-33.875,1
18.875,-31.625,1
19.625,-33.875,1
19.625,-33.875,1
19.125,-33.875,1
18.875,-31.875,1
19.125,-33.875,1
18.875,-31.375,1
18.875,-32.375,1
31.026098,-30.404468,1
31.026098,-30.404468,1
18.375,-33.875,1
19.125,-33.875,1
19.125,-33.875,1
19.125,-33.875,1
18.625,-31.875,1
19.375,-31.375,1
19.625,-33.875,1
19.375,-33.375,1
19.375,-33.375,1
20.875,-33.125,1
22.125,-33.625,1
19.125,-33.375,1
19.125,-31.375,1
19.125,-31.375,1
19.125,-31.375,1
19.125,-32.125,1
18.875,-32.125,1
19.125,-33.375,1
20.125,-33.625,1
19.625,-33.125,1
19.375,-33.875,1
19.375,-33.375,1
19.375,-33.375,1
18.875,-32.125,1
19.375,-33.375,1
19.375,-33.375,1
22.125,-33.625,1
22.125,-33.625,1
18.625,-31.875,1
19.375,-32.375,1
19.125,-33.625,1
19.125,-33.625,1
19.125,-33.625,1
18.875,-33.625,1
18.875,-33.625,1
22.125,-33.625,1
19.125,-33.875,1
19.125,-33.875,1
18.875,-32.125,1
18.875,-32.125,1
19.125,-31.375,1
18.875,-33.625,1
18.875,-33.625,1
19.125,-33.375,1
19.875,-33.375,1
19.875,-33.375,1
18.875,-32.125,1
19.375,-33.375,1
19.375,-33.625,1
19.375,-33.625,1
19.125,-33.625,1
18.875,-33.125,1
18.375,-32.625,1
18.375,-32.625,1
18.375,-32.625,1
19.375,-33.625,1
19.875,-33.625,1
19.875,-33.625,1
20.125,-33.875,1
18.875,-33.375,1
18.875,-33.375,1
19.125,-33.625,1
19.125,-33.125,1
20.625,-33.375,1
20.625,-33.375,1
19.125,-33.375,1
19.125,-33.375,1
19.125,-33.375,1
19.125,-31.375,1
19.125,-31.375,1
19.125,-33.375,1
18.875,-32.125,1
19.375,-33.875,1
20.375,-33.375,1
20.375,-33.375,1
20.625,-34.375,1
19.125,-33.875,1
19.125,-32.125,1
19.125,-32.125,1
19.375,-33.375,1
19.125,-33.625,1
19.125,-33.625,1
19.125,-33.625,1
18.875,-32.125,1
19.125,-33.625,1
19.125,-32.125,1
19.375,-31.625,1
19.375,-31.875,1
20.125,-33.125,1
19.125,-33.125,1
18.875,-32.625,1
19.125,-31.375,1
19.125,-31.375,1
19.125,-33.125,1
19.125,-33.625,1
19.125,-33.625,1
19.125,-33.125,1
20.125,-33.125,1
20.125,-33.125,1
19.125,-32.125,1
19.125,-32.125,1
19.875,-33.625,1
20.375,-33.625,1
19.125,-33.375,1
19.875,-34.125,1
19.125,-33.625,1
19.375,-33.375,1
19.875,-33.875,1
19.125,-33.375,1
18.875,-32.125,1
19.125,-31.375,1
26.875,-32.625,1
19.375,-33.375,1
18.875,-32.125,1
19.375,-33.125,1
20.58091,-33.28066,1
20.875,-33.125,1
19.125,-31.375,1
19.125,-33.875,1
19.875,-33.375,1
19.125,-31.375,1
19.375,-33.625,1
19.375,-33.375,1
19.125,-32.375,1
20.125,-33.875,1
19.125,-33.375,1
19.125,-33.375,1
19.625,-33.375,1
19.625,-33.125,1
19.125,-33.375,1
19.125,-33.375,1
19.125,-33.375,1
18.375,-34.125,1
19.125,-33.875,1
19.125,-33.875,1
19.125,-34.375,1
18.625,-31.875,1
18.625,-31.875,1
19.625,-33.375,1
19.375,-33.875,1
20.625,-33.125,1
18.875,-32.375,1
31.026098,-30.404468,1
18.875,-33.625,1
19.625,-33.375,1
19.3333,-33.8667,1
19.33,-33.87,1
19.33,-33.87,1
31.026098,-30.404468,1
22.875,-33.625,1
18.875,-33.625,1
19.375,-33.625,1
19.125,-33.125,1
19.125,-33.375,1
18.875,-33.625,1
18.875,-32.625,1
18.875,-33.875,1
19.125,-33.625,1
19.375,-33.625,1
19.375,-33.625,1
18.625,-31.875,1
19.125,-33.375,1
